keyword,slug,slot,card_title,photo_description
"Drain cleaning","drain-cleaning",1,"Kitchen & bathroom sink drains","Plumber clearing a kitchen sink drain under the cabinet"
"Drain cleaning","drain-cleaning",2,"Shower, tub & floor drains","Water draining freely from a shower/tub, plumber at the drain"
"Drain cleaning","drain-cleaning",3,"Toilet & fixture clogs","Plumber augering a clogged toilet in a clean bathroom"
"Drain cleaning","drain-cleaning",4,"Main line & sewer clogs","Plumber working an outdoor main-line cleanout"
"Drain cleaning","drain-cleaning",5,"Hydro jetting","Hydro-jetting machine and hose staged at a cleanout"
"Drain cleaning","drain-cleaning",6,"Sewer camera inspection","Plumber feeding a sewer camera, monitor screen visible"
"Clogged drain","clogged-drain",1,"Kitchen sink clogs","Standing water in a kitchen sink, plumber inspecting"
"Clogged drain","clogged-drain",2,"Bathroom sink & shower clogs","Hair/soap clog pulled from a bathroom drain"
"Clogged drain","clogged-drain",3,"Toilet clogs","Plumber augering a clogged toilet"
"Clogged drain","clogged-drain",4,"Main line clogs","Backed-up floor drain, plumber at the cleanout"
"Clogged drain","clogged-drain",5,"Snaking & augering","Drain snake cable feeding into a pipe"
"Clogged drain","clogged-drain",6,"Hydro jetting","Hydro-jet nozzle spraying clean inside a pipe"
"Clogged toilet / toilet repair","toilet-repair",1,"Clogged toilet clearing","Plumber augering a toilet, cleanly"
"Clogged toilet / toilet repair","toilet-repair",2,"Running toilet repair","Hand adjusting the flapper/fill valve inside the tank"
"Clogged toilet / toilet repair","toilet-repair",3,"Leak & wax seal repair","Toilet lifted off the flange, fresh wax ring"
"Clogged toilet / toilet repair","toilet-repair",4,"Toilet installation","New toilet being set and leveled on the flange"
"Clogged toilet / toilet repair","toilet-repair",5,"Fill & flush valve replacement","New fill valve installed in an open tank"
"Clogged toilet / toilet repair","toilet-repair",6,"Overflow cleanup","Clean, dry bathroom floor after the repair"
"Emergency plumber","emergency-plumber",1,"Burst pipe repair","Plumber shutting off water at a burst pipe (night)"
"Emergency plumber","emergency-plumber",2,"Major leaks & flooding","Wet floor being addressed, plumber with tools"
"Emergency plumber","emergency-plumber",3,"Sewage backups","Plumber clearing a sewage backup in PPE"
